origem,n_resid,mean_resid,autocorr_lag1,ljungbox_p_lag6,ljungbox_p_lag12,resid_mes_01,resid_mes_02,resid_mes_03,resid_mes_04,resid_mes_05,resid_mes_06,resid_mes_07,resid_mes_08,resid_mes_09,resid_mes_10,resid_mes_11,resid_mes_12
2006-06,303,7.230218201440765,0.22035766983705254,6.870003547221498e-05,0.0014644168470169703,7.413238901649587,24.39102679074168,30.11084363601215,23.73487923141245,16.72085298526949,0.2866985940425512,-0.5181700114568073,-3.762232539882117,-5.3494074880898985,-12.990118756860445,0.9682343018288947,4.994701724365554
2006-09,306,7.3876077388519805,0.22454832805398858,7.662711110083175e-05,0.00151680310235355,7.287798797768841,24.776671717353356,31.086174075540256,24.17876128493549,17.160329314304867,0.6559712622115939,-0.590108116323054,-3.6172318500581992,-5.610228186992216,-12.676685212426543,0.8266147370741845,5.659151151836516
2006-12,309,7.11964400022405,0.22138267436472206,7.292843390885113e-05,0.001833329761371774,7.95502923229889,24.85929469351853,30.54904004323849,24.074613643194176,17.118726930010638,0.7789099337980614,-0.3982201576439324,-3.4009453794566817,-5.620106990014543,-11.673114822415688,0.3387172628092313,2.469338689058486
2007-03,312,7.829156083641787,0.23604111598085759,7.580292578778309e-06,0.00021546416653653018,1.2095961260732027,29.40380735566102,26.975189213473435,25.28912999366377,15.369813505567068,1.7568659994939977,0.10874961447189165,-2.316975483424933,-2.505184990658739,-6.1282982699916255,-0.1168472051679594,4.904027144540317
2007-06,315,2.606298765577029,0.03789617362492695,0.5690326008495241,0.8539372883363289,-4.139559143486153,21.24549139611196,18.96664319899343,17.471282656526768,13.452922470983204,-1.08311210658167,-0.993162335310296,-4.55267129270267,-6.701153892984426,-13.673009328379361,-5.007290801402523,-4.55780320115918
2007-09,318,7.719302703210676,0.23423001711924404,5.940733130983313e-06,0.00018487739624549913,1.798104271908951,30.51435437313531,27.739349657573236,23.493763823594605,13.719441509341474,1.7525730792607728,0.1492657562371043,-2.5869443130966605,-3.191920842811129,-6.161541354564146,0.4144050631441543,5.489998230448224
2007-12,321,6.670923430288607,0.24428364448300058,7.330522362984044e-07,2.1689463444696622e-05,1.0624945488511552,29.73768635500779,26.889426640206036,23.13396661076575,12.905727793933304,1.242353367560218,-0.5302710370074785,-2.969470384191854,-3.484118686183972,-7.696368089965915,-2.3562825980410804,3.5113750593144744
2008-03,324,6.215476112341693,0.20335718717389728,0.0003076508834932275,0.003918376500183915,4.356233740239542,28.88842178632328,33.3587614814764,22.41962656599529,15.002598981088376,0.16984015431198027,-1.2278681495672208,-4.322265736636855,-6.7693466114674985,-14.246213752979807,-3.4855924005215293,0.44151728983834776
2008-06,327,7.419789633579782,0.24358258595127288,1.0304817843691447e-06,2.7853931193724556e-05,4.741665766088373,26.54414492973198,31.292661401175824,22.78568749769875,13.868053168720147,0.7444034803231124,-0.292154818946221,-2.6466100489900755,-3.6406830438933877,-7.004409987503363,-1.5947918875090528,3.6788137665797325
2008-09,330,6.9818919156506745,0.24541507859797473,4.161186483964134e-07,9.963273320378033e-06,4.547342725774469,26.4469284837105,30.90205171584853,22.594487208544347,13.662172506657027,0.5715684501728155,-1.345285747401128,-3.233043776189437,-4.733644075785148,-7.025297324091112,-1.5944818519336923,3.5223156698307467
2008-12,333,6.917416035866161,0.23247915805299713,4.016719440920938e-06,6.973152553923191e-05,4.422904474210151,26.372663761211353,31.0512157118452,22.319645238043005,13.503487965679723,0.19322120338389226,-1.5179057200595274,-3.4360054906233057,-5.079924871085744,-7.940646899458101,-1.0262952701609558,5.614294321682126
2009-03,336,6.888119838953685,0.23210221294994118,4.5585005949755625e-06,8.78407533133664e-05,4.003392298768881,26.605192556447236,27.131490640116017,22.839902209188068,14.230244982465738,0.5505067755902966,-1.1933654432762615,-3.18295024077083,-5.178220624649364,-8.196118890228393,-0.6452834109657236,5.692647214758551
2009-06,339,3.4871951555428407,0.04379528242021674,0.5708179713500061,0.7540042548858967,-2.558175017315539,16.04446678922515,18.245459083065892,21.85366080065973,15.88476980959227,-1.627026754380461,-2.6412968575590994,-4.57150550866765,-6.013166682513499,-8.845673990524324,-5.035220591578808,0.19398584403746355
2009-09,342,3.5930836995639055,0.044425992284925456,0.5567588931891563,0.7484003324659483,-2.43080972967005,16.38135445671407,18.56540479252357,22.028484726671806,15.9482451253788,-1.6868024959260444,-2.1059856940409394,-3.777790778799898,-6.3448177681359,-8.891335099121303,-4.958252842088991,0.2999228827701442
2009-12,345,3.1516874796219048,0.04148121904881021,0.5861783608331985,0.7790407010943959,-2.714813537386852,15.741831656333881,17.90892309830026,21.575565079108276,15.605181183802534,-1.7980846100669543,-2.2063540052829627,-3.871562410009834,-6.456142778515777,-8.880909493701553,-6.906318939581419,0.5636544703384845
2010-03,348,3.016147051160661,0.04585322715095493,0.5908399122033339,0.8371052112932569,-1.6229036439287037,15.85179790264316,13.671738151655518,21.827692790793897,15.91956662107181,-1.7075563079054394,-2.0563522046718243,-3.7154587099046896,-6.188194408988453,-9.062122028969865,-7.098280835859931,0.3738372879924627
2010-06,351,2.542854988497037,0.02071336882145594,0.7267861340700537,0.9186159044485807,-2.152696362930488,15.064559182107779,12.786453630190545,20.20995305302583,15.003486915167374,-1.3325901951705843,-2.279615900477806,-3.8634282972473533,-6.252914446838447,-9.572196363035506,-7.636848188909349,-0.3651543641772562
2010-09,354,3.0042427149643944,0.043521764754858513,0.5792175098651855,0.8401049111175025,-1.4896936041991475,16.23222218149936,14.039653367807436,21.60368812184057,15.29144146808368,-0.9632419487493252,-1.7917605781811008,-3.9720742989635105,-7.297833391448552,-9.108056785738814,-7.028381975400679,0.36788922706436283
2010-12,357,2.8033736836459555,0.045495488161973324,0.5841872020244911,0.8334885364778748,-1.281620870139093,16.164085855323556,13.93765578355082,21.56792006656839,15.07644835214377,-0.9417974977868363,-1.7889693958878399,-3.9237593111934985,-7.181968518153275,-8.059852746210883,-7.458344354240768,-1.7889798362962883
2011-03,360,2.338941184745104,0.040398196014361176,0.6325667476945331,0.8666082529839831,-2.4095619698413646,15.535832808638895,11.457365085490846,21.176263814386015,14.861818964984705,-1.1720579057015894,-1.9774536655032044,-4.075135913365437,-7.3141053398898865,-8.264031834818836,-7.6973907041637375,-2.054249123275165
2011-06,363,1.0826262074213397,0.021693283884701105,0.7531350575662813,0.9184848244032301,-3.601987123553015,13.719586101374952,9.844676000054447,17.825689869698582,13.35392945980056,-2.486724506759414,-2.8542104151519774,-4.8579521550244085,-7.980818487850665,-8.971943576845007,-8.694056874808151,-3.1528410085623486
2011-09,366,1.2323429886606772,0.023216373449484892,0.7367589216197065,0.9192753728594194,-3.354735167307559,14.721771122574799,10.656066443911495,18.604265999888376,13.990593817727937,-2.401165205768659,-2.8016876322777415,-4.801737531104884,-8.57344439436987,-9.51558442944928,-8.733237791739642,-3.223748272227875
2011-12,369,2.4599812269110197,0.043086233555497365,0.6161118802466756,0.8576049984657664,-2.3835844337990695,16.046226920417258,11.955581685464436,20.014245941764543,14.556502259868173,-1.4732420931001695,-1.710183163147394,-3.7138061809887972,-7.318099100871741,-4.981042849150083,-6.077098737811166,-4.807393896960542
2012-03,372,2.067298167075654,0.0453523736211538,0.6410937785932986,0.8648370098730094,-1.1493856925562502,15.250114834572225,7.826790690790014,20.159052801179055,14.762949201383007,-1.575836107576488,-1.9307141094607132,-3.9701892287966536,-7.645959749573224,-5.48429436364209,-6.365935676397373,-5.069014595013661
2012-06,375,-0.4606884530477055,-0.000684919931497555,0.8184040894632095,0.9402414451273754,-3.541677920242122,13.398643711717282,5.105375174996718,12.389116296128304,10.709923194448962,-2.607935202746372,-3.0113154033183034,-5.164502913282908,-9.049787605175228,-8.038611149018305,-8.618287543193864,-7.804788194530967
2012-09,378,-1.2036163665372765,0.0016983023868444571,0.8074319513109507,0.9280885830551594,-4.444141303874057,12.163074917756061,4.196174939624332,11.462118772303057,9.923200857965712,-3.129646188265739,-3.3958308903634884,-5.746989336917801,-9.274546148454062,-8.560875778433486,-9.3406036759752,-8.523074669151091
2012-12,381,-1.4119115883714388,0.0010723518910780083,0.79541724770306,0.9418517895803794,-4.951068017412438,12.073561950630856,3.9963776417632633,11.35597589155968,9.872097477160159,-3.6306364826783675,-3.8687271420865565,-6.349326715807273,-10.202445737463155,-9.726404532733302,-7.5720714819133335,-7.460440463348801
2013-03,384,0.9798316823514218,0.03412051922889698,0.6999740998193602,0.8768679678516578,1.0869370037706698,12.764399306986508,3.165548048538631,15.51911699210836,12.387960467071885,-1.7501481687368448,-1.8096097603509576,-4.369150235861895,-8.32363494526678,-7.5588332098941695,-4.8339806210792915,-4.520624689069056
2013-06,387,-0.4197616092702201,0.012927385336387983,0.7036293123461628,0.8860136866704024,-0.32057154510007635,10.865012795741405,1.2026551055441583,10.79117148277199,11.177926043545444,-2.0011483609157565,-2.709953285181858,-5.202837696918362,-9.072585647223663,-8.551172505753213,-5.9804209190351845,-5.898565841005397
